Fecha,EH,ET,ER,EVPTRNS,EHr,VPD,Dias_mes,IEAM_C,Clasificacion_IEAM_C
2010-01-01,0.9354838709677419,0.41935483870967744,0.12903225806451613,0.9354838709677419,1.0,0.2903225806451613,31,0.6483870967741936,Estrés alto
2010-02-01,0.6071428571428571,0.25,0.14285714285714285,1.0,0.8928571428571429,0.42857142857142855,28,0.5875,Estrés alto
2010-03-01,0.6129032258064516,0.16129032258064516,0.06451612903225806,1.0,0.5483870967741935,0.25806451612903225,31,0.49516129032258066,Estrés moderado
2010-04-01,0.6333333333333333,0.06666666666666667,0.1,0.9666666666666667,0.2,0.5,30,0.5133333333333334,Estrés moderado
2010-05-01,0.5161290322580645,0.06451612903225806,0.03225806451612903,0.5483870967741935,0.0,0.5483870967741935,31,0.38548387096774195,Favorable
2010-06-01,0.5333333333333333,0.06666666666666667,0.06666666666666667,0.6,0.0,0.8,30,0.4666666666666666,Estrés leve
2010-07-01,0.41935483870967744,0.16129032258064516,0.0,0.6451612903225806,0.0,0.9032258064516129,31,0.47580645161290325,Estrés leve
2010-08-01,0.6451612903225806,0.06451612903225806,0.03225806451612903,0.45161290322580644,0.0,0.9032258064516129,31,0.48709677419354835,Estrés moderado
2010-09-01,0.3,0.1,0.03333333333333333,0.7333333333333333,0.0,1.0,30,0.485,Estrés moderado
2010-10-01,0.6129032258064516,0.12903225806451613,0.03225806451612903,0.6774193548387096,0.0,0.9354838709677419,31,0.5387096774193548,Estrés moderado
2010-11-01,0.43333333333333335,0.4,0.0,0.7333333333333333,0.0,1.0,30,0.545,Estrés moderado
2010-12-01,0.5161290322580645,0.5806451612903226,0.0,0.6774193548387096,0.0,1.0,31,0.5725806451612903,Estrés alto
2011-01-01,0.7419354838709677,0.7419354838709677,0.0,0.7096774193548387,0.0,0.8387096774193549,31,0.6112903225806452,Estrés alto
2011-02-01,0.75,0.2857142857142857,0.07142857142857142,0.5357142857142857,0.0,0.7857142857142857,28,0.5267857142857143,Estrés moderado
2011-03-01,0.7419354838709677,0.2903225806451613,0.06451612903225806,0.6129032258064516,0.0,0.9032258064516129,31,0.5693548387096774,Estrés alto
2011-04-01,0.7333333333333333,0.16666666666666666,0.13333333333333333,0.7,0.0,0.9,30,0.5783333333333333,Estrés alto
2011-05-01,0.5161290322580645,0.0967741935483871,0.0,0.5806451612903226,0.0,1.0,31,0.5048387096774194,Estrés moderado
2011-06-01,0.6,0.1,0.06666666666666667,0.6,0.0,0.7333333333333333,30,0.47,Estrés leve
2011-07-01,0.7096774193548387,0.3870967741935484,0.0,0.6451612903225806,0.0,0.6774193548387096,31,0.5145161290322581,Estrés moderado
2011-08-01,0.6774193548387096,0.1935483870967742,0.1935483870967742,0.7741935483870968,0.0,0.7096774193548387,31,0.5403225806451613,Estrés moderado
2011-09-01,0.5333333333333333,0.16666666666666666,0.13333333333333333,0.7,0.0,0.6666666666666666,30,0.47,Estrés leve
2011-10-01,0.4838709677419355,0.25806451612903225,0.03225806451612903,0.7419354838709677,0.0,1.0,31,0.5483870967741936,Estrés moderado
2011-11-01,0.4666666666666667,0.13333333333333333,0.03333333333333333,0.6666666666666666,0.0,1.0,30,0.5166666666666666,Estrés moderado
2011-12-01,0.6774193548387096,0.3225806451612903,0.0,0.7741935483870968,0.0,0.9354838709677419,31,0.5903225806451613,Estrés alto
2012-01-01,0.7741935483870968,0.4838709677419355,0.0,0.7419354838709677,0.0,0.8709677419354839,31,0.6080645161290323,Estrés alto
2012-02-01,0.7586206896551724,0.7241379310344828,0.27586206896551724,0.6206896551724138,0.13793103448275862,0.41379310344827586,29,0.5310344827586206,Estrés moderado
2012-03-01,0.5483870967741935,0.06451612903225806,0.03225806451612903,0.6129032258064516,0.0,0.3548387096774194,31,0.35806451612903223,Favorable
2012-04-01,0.4,0.03333333333333333,0.06666666666666667,0.7333333333333333,0.0,0.9333333333333333,30,0.49,Estrés moderado
