Fecha,ET,EH,ER,EHr,IEAM_C,VPD,EVPTRNS,Cluster_IEAM,Escenario_Simulado
2010-01-01,0.4193548387096774,0.935483870967742,0.1290322580645161,1.0,0.6483870967741936,0.2903225806451613,0.935483870967742,1,Riesgo
2010-02-01,0.25,0.6071428571428571,0.1428571428571428,0.8928571428571429,0.5875,0.4285714285714285,1.0,1,Riesgo
2010-03-01,0.1612903225806451,0.6129032258064516,0.064516129032258,0.5483870967741935,0.4951612903225806,0.2580645161290322,1.0,1,Riesgo
2010-04-01,0.0666666666666666,0.6333333333333333,0.1,0.2,0.5133333333333334,0.5,0.9666666666666668,1,Riesgo
2010-05-01,0.064516129032258,0.5161290322580645,0.032258064516129,0.0,0.3854838709677419,0.5483870967741935,0.5483870967741935,0,Favorable
2010-06-01,0.0666666666666666,0.5333333333333333,0.0666666666666666,0.0,0.4666666666666666,0.8,0.6,0,Favorable
2010-07-01,0.1612903225806451,0.4193548387096774,0.0,0.0,0.4758064516129032,0.9032258064516128,0.6451612903225806,0,Favorable
2010-08-01,0.064516129032258,0.6451612903225806,0.032258064516129,0.0,0.4870967741935483,0.9032258064516128,0.4516129032258064,0,Favorable
2010-09-01,0.1,0.3,0.0333333333333333,0.0,0.485,1.0,0.7333333333333333,0,Favorable
2010-10-01,0.1290322580645161,0.6129032258064516,0.032258064516129,0.0,0.5387096774193548,0.935483870967742,0.6774193548387096,0,Favorable
2010-11-01,0.4,0.4333333333333333,0.0,0.0,0.545,1.0,0.7333333333333333,0,Favorable
2010-12-01,0.5806451612903226,0.5161290322580645,0.0,0.0,0.5725806451612903,1.0,0.6774193548387096,3,Crítico
2011-01-01,0.7419354838709677,0.7419354838709677,0.0,0.0,0.6112903225806452,0.8387096774193549,0.7096774193548387,3,Crítico
2011-02-01,0.2857142857142857,0.75,0.0714285714285714,0.0,0.5267857142857143,0.7857142857142857,0.5357142857142857,3,Crítico
2011-03-01,0.2903225806451613,0.7419354838709677,0.064516129032258,0.0,0.5693548387096774,0.9032258064516128,0.6129032258064516,3,Crítico
2011-04-01,0.1666666666666666,0.7333333333333333,0.1333333333333333,0.0,0.5783333333333333,0.9,0.7,3,Crítico
2011-05-01,0.0967741935483871,0.5161290322580645,0.0,0.0,0.5048387096774194,1.0,0.5806451612903226,0,Favorable
2011-06-01,0.1,0.6,0.0666666666666666,0.0,0.47,0.7333333333333333,0.6,0,Favorable
2011-07-01,0.3870967741935484,0.7096774193548387,0.0,0.0,0.5145161290322581,0.6774193548387096,0.6451612903225806,3,Crítico
2011-08-01,0.1935483870967742,0.6774193548387096,0.1935483870967742,0.0,0.5403225806451613,0.7096774193548387,0.7741935483870968,3,Crítico
2011-09-01,0.1666666666666666,0.5333333333333333,0.1333333333333333,0.0,0.47,0.6666666666666666,0.7,0,Favorable
2011-10-01,0.2580645161290322,0.4838709677419355,0.032258064516129,0.0,0.5483870967741936,1.0,0.7419354838709677,0,Favorable
2011-11-01,0.1333333333333333,0.4666666666666667,0.0333333333333333,0.0,0.5166666666666666,1.0,0.6666666666666666,0,Favorable
2011-12-01,0.3225806451612903,0.6774193548387096,0.0,0.0,0.5903225806451613,0.935483870967742,0.7741935483870968,3,Crítico
2012-01-01,0.4838709677419355,0.7741935483870968,0.0,0.0,0.6080645161290323,0.8709677419354839,0.7419354838709677,3,Crítico
2012-02-01,0.7241379310344828,0.7586206896551724,0.2758620689655172,0.1379310344827586,0.5310344827586206,0.4137931034482758,0.6206896551724138,3,Crítico
2012-03-01,0.064516129032258,0.5483870967741935,0.032258064516129,0.0,0.3580645161290322,0.3548387096774194,0.6129032258064516,2,Optimo
2012-04-01,0.0333333333333333,0.4,0.0666666666666666,0.0,0.49,0.9333333333333332,0.7333333333333333,0,Favorable
2012-05-01,0.064516129032258,0.5806451612903226,0.064516129032258,0.0,0.4564516129032258,0.8064516129032258,0.4838709677419355,0,Favorable
2012-06-01,0.3333333333333333,0.7,0.2,0.0666666666666666,0.4816666666666667,0.4,0.7333333333333333,2,Optimo
2012-07-01,0.2903225806451613,0.6774193548387096,0.0967741935483871,0.032258064516129,0.4725806451612903,0.4516129032258064,0.7419354838709677,3,Crítico
2012-08-01,0.2258064516129032,0.5806451612903226,0.064516129032258,0.1290322580645161,0.3951612903225807,0.4193548387096774,0.5161290322580645,2,Optimo
2012-09-01,0.1,0.4333333333333333,0.1666666666666666,0.2,0.2466666666666666,0.1,0.3333333333333333,2,Optimo
2012-10-01,0.2258064516129032,0.5161290322580645,0.064516129032258,0.032258064516129,0.4919354838709677,0.8064516129032258,0.6451612903225806,0,Favorable
