year_month,ET,EH,ER,EHR,IEAM_C,Escenario_IEAM_C
2010-01,0.3251113671274961,0.9354838709677419,0.8709677419354839,0.0,0.6926947004608295,Crítico
2010-02,0.23979591836734684,0.6071428571428571,0.03571428571428571,0.0,0.35229591836734686,Favorable
2010-03,0.27615207373271894,0.6129032258064516,0.03225806451612903,0.0,0.3651036866359447,Favorable
2010-04,0.5108928571428571,0.6333333333333333,0.03333333333333333,0.0,0.44493452380952375,Favorable
2010-05,0.5,0.5161290322580645,0.06451612903225806,0.0,0.3951612903225806,Favorable
2010-06,0.5797619047619047,0.5333333333333333,0.0,0.0,0.4139285714285714,Favorable
2010-07,0.6823732718894009,0.41935483870967744,0.03225806451612903,0.0,0.3998732718894009,Favorable
2010-08,0.6266129032258064,0.6451612903225806,0.03225806451612903,0.0,0.484758064516129,Intermedio
2010-09,0.661547619047619,0.3,0.06666666666666667,0.0,0.346797619047619,Favorable
2010-10,0.6630184331797234,0.6129032258064516,0.06451612903225806,0.0,0.48761520737327185,Intermedio
2010-11,0.7675,0.43333333333333335,1.0,0.0,0.6252500000000001,Crítico
2010-12,0.7857142857142857,0.5161290322580645,0.16129032258064516,0.0,0.5002304147465437,Intermedio
2011-01,0.6073156682027651,0.7419354838709677,0.8709677419354839,0.0,0.6902592165898618,Crítico
2011-02,0.6248724489795919,0.75,0.0,0.0,0.5249617346938776,Intermedio
2011-03,0.6833991661180602,0.7419354838709677,0.0,0.0,0.5388907175773535,Intermedio
2011-04,0.6672619047619047,0.7333333333333333,0.0,0.0,0.5301785714285714,Intermedio
2011-05,0.6443754508914769,0.5161290322580645,0.0,0.0,0.4255706997835721,Favorable
2011-06,0.6147047581013235,0.6,0.0,0.0,0.4544114274303971,Intermedio
2011-07,0.5813388567506618,0.7096774193548387,0.0,0.0,0.493756495734876,Intermedio
2011-08,0.5249251644412933,0.6774193548387096,0.0,0.0,0.46231625900980733,Intermedio
2011-09,0.5393247711549208,0.5333333333333333,0.0,0.0,0.4017974313464763,Favorable
2011-10,0.7389611586570112,0.4838709677419355,0.0,0.0,0.4394302830809743,Favorable
2011-11,0.7701822587442057,0.4666666666666667,1.0,0.0,0.6410546776232617,Crítico
2011-12,0.7114055299539171,0.6774193548387096,0.22580645161290322,0.0,0.5634216589861751,Intermedio
2012-01,0.5513486298515297,0.7741935483870968,0.967741935483871,0.0,0.7073400728264267,Crítico
2012-02,0.375516359606,0.7586206896551724,0.10344827586206896,0.0,0.4747238733990414,Intermedio
2012-03,0.3948051907189631,0.5483870967741935,0.0967741935483871,0.06451612903225806,0.3877963959253663,Favorable
