Fecha,PRECIPITACIÓN,TMAX,TMIN,TPROM,HR,RAD_SOL,EVPTRNS,VDL
2010-01-01,5.0,29.514193548387098,14.93774193548387,22.225967741935484,58.62064516129032,20.2758064516129,34.15,1.1136949013959698
2010-02-01,225.0,30.565714285714286,17.261785714285715,23.91375,63.353571428571435,18.280714285714286,5.99,1.0997892367851658
2010-03-01,108.0,29.301612903225806,17.128709677419355,23.21516129032258,69.38677419354839,17.74225806451613,19.56,0.8832096213656617
2010-04-01,130.0,26.645333333333333,17.449666666666666,22.0475,77.79400000000001,16.946666666666665,27.47,0.6072879689855898
2010-05-01,347.0,24.838387096774195,16.77806451612903,20.80822580645161,82.43967741935484,18.116451612903226,98.7,0.44471509601272435
2010-06-01,211.0,24.119666666666667,16.256999999999998,20.188333333333333,83.65766666666667,17.975,148.71,0.3913167981661415
2010-07-01,266.0,23.239677419354837,15.757741935483871,19.498709677419356,84.27354838709678,17.044516129032257,133.54,0.36062399314539206
2010-08-01,162.0,23.280322580645162,16.10258064516129,19.691451612903226,85.06548387096775,17.363225806451613,123.33,0.34556088781719463
2010-09-01,361.0,22.208666666666666,15.913666666666668,19.06116666666667,88.21233333333333,17.668666666666663,89.19,0.26410435733116916
2010-10-01,469.0,22.580645161290324,15.797419354838711,19.18903225806452,87.73516129032258,17.95967741935484,99.45,0.2797406443218478
2010-11-01,214.0,21.665666666666667,15.118333333333334,18.392,90.00833333333334,16.337666666666667,75.94,0.2134073121190742
2010-12-01,167.6,22.501935483870966,14.59032258064516,18.54612903225806,85.60387096774193,16.23516129032258,106.11,0.30980017478898225
2011-01-01,91.0,23.904838709677417,13.743870967741936,18.824354838709677,80.47612903225807,18.949354838709677,155.97,0.4234107849579724
2011-02-01,70.0,23.67642857142857,15.107857142857142,19.392142857142858,82.03750000000001,17.443571428571428,120.98,0.404962810453818
2011-03-01,184.0,23.09193548387097,15.37774193548387,19.23483870967742,84.56870967741936,17.916774193548385,106.58,0.3504202166663823
2011-04-01,127.0,23.047,15.690666666666667,19.368833333333335,86.107,17.915000000000003,92.84,0.32000596246194396
2011-05-01,189.0,22.976129032258065,16.326451612903227,19.651290322580646,87.01451612903226,16.93290322580645,99.99,0.30327229959426305
2011-06-01,140.0,23.974666666666668,15.865666666666666,19.920166666666667,82.76266666666668,18.012,142.43,0.4054815869111381
2011-07-01,98.0,23.799677419354836,15.335806451612902,19.567741935483873,80.43193548387096,17.76774193548387,159.94,0.4494118251787589
2011-08-01,128.0,23.933870967741935,15.672258064516129,19.80306451612903,81.7874193548387,19.985806451612902,163.04,0.42420954490073026
2011-09-01,164.0,24.073666666666668,15.526000000000002,19.799833333333332,81.82766666666666,19.161,159.45,0.4238467232747006
2011-10-01,367.0,21.79,15.518387096774193,18.654193548387095,89.06967741935483,16.806129032258063,88.3,0.23930787638039858
2011-11-01,267.0,21.796333333333333,15.855,18.825666666666667,89.51,16.241333333333333,77.56,0.23096669284098442
2011-12-01,80.0,23.24225806451613,15.200967741935484,19.221612903225807,84.81064516129032,16.824516129032258,120.03,0.3419738950377647
2012-01-01,57.0,23.714193548387097,14.695806451612903,19.205000000000002,81.93290322580646,18.04774193548387,154.76,0.40369561622935146
2012-02-01,69.0,25.422758620689656,14.06655172413793,19.744655172413793,76.07827586206896,20.181379310344827,145.91,0.5498628341406593
2012-03-01,274.0,25.173870967741934,16.140645161290323,20.657258064516128,77.37548387096774,17.9158064516129,81.94,0.5566582043764804
2012-04-01,352.0,22.94333333333333,15.991333333333333,19.467333333333332,86.72366666666667,17.311666666666667,86.5,0.3073892541160218
2012-05-01,155.0,23.905161290322578,16.361612903225804,20.133387096774193,83.46903225806452,18.01,132.01,0.39339421193920515
2012-06-01,85.0,24.801,15.723,20.262,77.51766666666667,18.734333333333332,192.23,0.5363392139615026
2012-07-01,95.0,24.925483870967742,15.390322580645162,20.15790322580645,77.53612903225806,18.562903225806455,176.34,0.5319597168848367
2012-08-01,232.0,24.892903225806453,15.724193548387097,20.308548387096774,78.65290322580644,18.88193548387097,137.6,0.5160308263799502
2012-09-01,177.0,26.004666666666665,15.918666666666667,20.961666666666666,74.54299999999999,19.817666666666664,111.18,0.6352655644646732
2012-10-01,280.0,22.784193548387094,15.70483870967742,19.24451612903226,86.40064516129033,18.448064516129033,106.43,0.3141685437133141
2012-11-01,147.0,23.608999999999998,15.771333333333333,19.690166666666666,84.84266666666667,18.433,133.68,0.3512186752263394
2012-12-01,36.0,23.641612903225806,15.20032258064516,19.42096774193548,82.92935483870967,18.263870967741934,157.63,0.388250828928598
2013-01-01,38.0,26.2558064516129,15.143870967741934,20.699838709677422,73.60645161290323,19.52548387096774,147.05,0.644235104619566
2013-02-01,119.0,25.596071428571427,15.555357142857144,20.575714285714287,78.07678571428572,17.587142857142858,114.6,0.5359333939636913
2013-03-01,49.0,25.384516129032257,16.601935483870967,20.993225806451612,81.31193548387097,17.376451612903224,110.04,0.4742942412167976
2013-04-01,91.0,24.734666666666666,16.686,20.710333333333335,81.92333333333333,17.861,108.83,0.4519715841297924
2013-05-01,256.0,24.023548387096774,16.238064516129032,20.1308064516129,83.82064516129033,17.759677419354837,137.47,0.3877059963041251
2013-06-01,65.0,25.055333333333333,15.905333333333335,20.48033333333333,78.35433333333334,18.811333333333334,179.7,0.5239829503189474
2013-07-01,98.0,26.19645161290323,14.958709677419353,20.57758064516129,72.28451612903227,18.927419354838708,160.43,0.6719624124743336
2013-08-01,155.0,25.323225806451614,15.639999999999999,20.481612903225805,77.51290322580645,18.73677419354839,136.26,0.5468712384633332
2013-09-01,77.0,25.331,16.056666666666665,20.693833333333334,79.23766666666667,19.113999999999997,120.59,0.516495565413936
2013-10-01,215.0,24.917096774193546,15.498387096774193,20.207741935483874,80.40645161290323,18.42225806451613,133.9,0.4677309289517688
2013-11-01,110.0,22.81,15.622333333333334,19.216166666666666,87.238,17.86,102.03,0.2885252158229983
2013-12-01,102.0,24.375806451612902,15.321612903225807,19.848709677419357,80.36290322580645,17.754193548387097,153.74,0.4594350612245675
2014-01-01,7.0,26.53258064516129,15.493870967741936,21.01322580645161,71.36193548387097,18.194193548387098,95.38,0.7144280393271044
2014-02-01,54.0,26.437857142857144,16.173571428571428,21.305714285714284,74.11142857142856,18.32857142857143,65.94,0.6632218163342914
2014-03-01,93.0,25.938709677419357,16.088064516129034,21.013387096774192,76.28677419354838,18.68322580645161,71.12,0.6039982363323654
2014-04-01,165.0,26.967333333333332,17.113333333333333,22.040333333333333,75.32866666666668,18.383666666666667,41.65,0.6633781965473361
2014-05-01,184.0,25.97741935483871,16.505161290322583,21.241290322580646,77.74677419354839,18.396774193548385,85.93,0.5716886407188432
2014-06-01,21.0,27.280666666666665,16.228,21.75433333333333,70.86066666666667,18.048333333333336,61.629999999999995,0.7603024496960258
2014-07-01,44.0,27.346129032258066,15.778709677419354,21.562419354838706,69.21064516129033,19.56645161290323,83.17,0.7957590722870242
2014-08-01,151.0,27.271935483870966,15.689032258064517,21.480483870967742,69.76193548387097,19.181290322580644,49.95,0.7815876035195732
2014-09-01,124.0,26.204,15.937000000000001,21.0705,74.70633333333333,19.30933333333333,88.51,0.6410925319441595
2014-10-01,228.0,22.97290322580645,16.27774193548387,19.62532258064516,85.07193548387097,17.75483870967742,97.2,0.3494960367857577
2014-11-01,210.0,23.242,15.758333333333333,19.500166666666665,86.034,17.532333333333334,128.95,0.3213919125210148
2014-12-01,63.0,24.568064516129034,14.839677419354839,19.70387096774194,79.56451612903226,17.94483870967742,178.32999999999998,0.4719195683782594
2015-01-01,153.0,26.271290322580644,14.792903225806452,20.532096774193548,72.24483870967742,18.92225806451613,106.53,0.6716801590896457
2015-02-01,62.0,26.445714285714285,15.922142857142857,21.18392857142857,73.67928571428571,18.716785714285717,67.72,0.6695308712118572
2015-03-01,150.0,27.240645161290324,16.24096774193548,21.740806451612904,71.44064516129032,18.904838709677417,57.38,0.7601277728027118
2015-04-01,148.0,26.725666666666665,16.801,21.763333333333332,75.79299999999999,18.194333333333336,83.36,0.6371372731395811
2015-05-01,155.0,27.26806451612903,16.799677419354836,22.033870967741933,73.81419354838711,19.09225806451613,75.47,0.7037863461144716
2015-06-01,71.0,28.071666666666665,16.390333333333334,22.230999999999998,68.091,18.051,57.01,0.8595990499038569
2015-07-01,66.0,27.970322580645163,16.149032258064516,22.059677419354838,68.72806451612904,18.832903225806454,31.02,0.8380588728834332
2015-08-01,124.0,28.17064516129032,16.399032258064516,22.28483870967742,69.60387096774194,18.965806451612906,25.95,0.8255902578343591
